estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,agcalmeida,2019-01-20,2019-01-14,5.0,"Ótima cerveja e atendimento excelente","As cervejas são muito boas e o atendimento, em especial do Marcos, é show. Bom de conversa e super atencioso. Até arroz, que não é parte do cardápio, ele fez pra minha filha!!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Carol A,2018-12-28,2018-12-14,5.0,"Ótima cerveja artesanal","Amamos o atendimento e o serviço. Apreciamos uma ótima cerveja. Gostamos do bolinho de carne. Super recomendo."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Pammeladrumond,2018-12-22,2018-12-14,5.0,"Muito legal!","Lugar calmo durante o dia. Excelente seleção musical! Choops variados e ótimos, comida gourmet muito boa e atendimento personalizado!!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,rimmich86,2018-12-08,2018-12-14,5.0,"OuroPretana Bar é bão demais....","Lugar super agradável e com ótimo atendimento. Petiscos super saborosos (comemos uma bruscheta sensacional) e a cerveja excelente... Vale a pena conferir!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Navigate768047,2018-11-28,2018-11-14,5.0,"Otimo local","Local muito agradável, aconchegante e excelente atendimento. Alem de ótimas cervejas! Vale a pena conferir..."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Juliano J,2018-11-09,2018-10-14,5.0,"Chopp Pilsen Espetacular !","O chopp Pilsen da Cervejaria Ouropretana é um dos melhores que já bebi. Já tinha provado anteriormente no restaurante O Passo. E dessa vez, numa nova visita a cidade, tive o prazer de saboreá-lo no próprio bar da Fábrica. A régua de degustação é outra...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Fernanda M,2018-11-08,2018-10-14,3.0,"Parece bom","O ambiente é bom, mas no dia em que fomos havia poucas opções de cerveja e poucas opções de tira-gosto. entendemos que não era esse o perfil da casa e fomos embora."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,alehayssa,2018-10-28,2018-10-14,5.0,"Excelente","É o melhor local para tomar deliciosas cervejas/chopps gelados! O ambiente é legal, bonito, o atendimento é excelente e os preços das cervejas e petiscos não poderia ser melhor! Super recomendo!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,bollercica,2018-10-17,2018-09-14,4.0,"O que é esse amor em pedaços??","Melhor chope que já tomei aqui na região. Ginger Ipa é o meu preferido. Acompanhado da polenta artesanal frita e do Amor em Pedaços, um belo pedaço de torresmo carnudo e crocante, derrete na boca.
Recomendo!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,jordanialoud,2018-10-16,2018-10-14,2.0,"Vá só para beber","Estive no feriado de 12 de outubro no bar com meu marido e um casal de amigos.  Resolvemos ir ao bar, pois já conhecíamos a cerveja e queríamos um passeio diferente.
As cervejas são boas e os preços justos por ser cervejas artesanais, porém nós...Mais"
