restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
10322679,Angu & Couve Restaurante,"Avenida Casa Branca, 121 Centro, Brumadinho, Minas Gerais Brasil",Brumadinho ,3.5,11,$,-20.07680892944336,-44.047271728515625,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d10322679-Reviews-Angu_Couve_Restaurante-Brumadinho_State_of_Minas_Gerais.html
5365722,Salgados Maria,"Rua Carlos Nogueira 908 Cidade Da Esperanca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,2,indef,-20.13437843322754,-44.204322814941406,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5365722-Reviews-Salgados_Maria-Brumadinho_State_of_Minas_Gerais.html
8177189,Bar E Lanchonete Casa Branca,"Avenida Piedade Paraopeba 19 Casa Branca, Brumadinho, Minas Gerais Brasil",Brumadinho ,4.0,2,indef,-20.119129180908203,-44.047767639160156,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8177189-Reviews-Bar_E_Lanchonete_Casa_Branca-Brumadinho_State_of_Minas_Gerais.html
5703815,Dalva Maria Gomes Lima,"Rua Itagua, 2549 D Bosco, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,2,indef,-20.14893913269043,-44.21876525878906,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5703815-Reviews-Dalva_Maria_Gomes_Lima-Brumadinho_State_of_Minas_Gerais.html
5658652,Panificadora Copacabana,"Praca da Bandeira 91 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,indef,-20.120710372924805,-44.160648345947266,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5658652-Reviews-Panificadora_Copacabana-Brumadinho_State_of_Minas_Gerais.html
10886147,Sorveteria Sonho Gelado + Gostosurasdasu,"Avenida Casa Branca 20, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,indef,-20.077035903930664,-44.047515869140625,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d10886147-Reviews-Sorveteria_Sonho_Gelado_Gostosurasdasu-Brumadinho_State_of_Minas_Gerais.html
5362467,Choperia Montiada,"Rua Esmael Neto 13 Alecrim, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,indef,-20.10055923461914,-44.043819427490234,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5362467-Reviews-Choperia_Montiada-Brumadinho_State_of_Minas_Gerais.html
8860926,Amores & Sabores,"Rua Governador Valadares 150 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,indef,-20.1427059173584,-44.20296859741211,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8860926-Reviews-Amores_Sabores-Brumadinho_State_of_Minas_Gerais.html
13087474,Komboza Bar,"Avenida Vigilato Braga 278 Loja 2, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,8,$,-20.144229888916016,-44.201663970947266,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d13087474-Reviews-Komboza_Bar-Brumadinho_State_of_Minas_Gerais.html
5747403,Pizzaria Rocha,"Avenida Vigilato Braga 153 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.5,3,indef,-20.142040252685547,-44.201454162597656,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5747403-Reviews-Pizzaria_Rocha-Brumadinho_State_of_Minas_Gerais.html
5381095,Luna Lanches,"Rua Quintino Bocaiuva 299 Barro Preto, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,2,indef,-20.141714096069336,-44.2027587890625,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5381095-Reviews-Luna_Lanches-Brumadinho_State_of_Minas_Gerais.html
2423806,Recanto com Sabor,"Rua Tao, 10 Recanto da Serra, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,5,$$ - $$$,-20.101579666137695,-44.04462814331055,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2423806-Reviews-Recanto_com_Sabor-Brumadinho_State_of_Minas_Gerais.html
5377147,Restaurante Verde Vida,"Avenida Rui Barbosa 18 Jd Betania, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,1,indef,-20.15165138244629,-44.2286491394043,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5377147-Reviews-Restaurante_Verde_Vida-Brumadinho_State_of_Minas_Gerais.html
5391598,Genis Bar,"Avenida a 194 Cumbuco, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,1,indef,-20.099870681762695,-44.04378128051758,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5391598-Reviews-Genis_Bar-Brumadinho_State_of_Minas_Gerais.html
5337420,Restaurante Kid Casa,"Rua Itagua, 2327 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.5,3,indef,-20.14903450012207,-44.21893310546875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5337420-Reviews-Restaurante_Kid_Casa-Brumadinho_State_of_Minas_Gerais.html
5342412,Bar Do Marco Aurelio,"Rua Aranha 179 Telegrafo Sem Fio, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.5,2,indef,-20.1466064453125,-44.21003723144531,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5342412-Reviews-Bar_Do_Marco_Aurelio-Brumadinho_State_of_Minas_Gerais.html
5760524,Space Burguer,"Avenida Vigilato Braga 120 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,1,indef,-20.142040252685547,-44.201454162597656,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5760524-Reviews-Space_Burguer-Brumadinho_State_of_Minas_Gerais.html
5365961,Restaurante Madeira Rodrigues,"Rua Girassol 54 Costeira, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,1,indef,-20.14476203918457,-44.191383361816406,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5365961-Reviews-Restaurante_Madeira_Rodrigues-Brumadinho_State_of_Minas_Gerais.html
10723794,Piedade do Paraopeba Restaurante Bar,"Rua Rio Paraopeba 85, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,9,indef,-20.14543914794922,-44.19979476928711,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d10723794-Reviews-Piedade_do_Paraopeba_Restaurante_Bar-Brumadinho_State_of_Minas_Gerais.html
5709200,Esquinao Burguer,"Rua Presidente Vargas 40 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,11,indef,-20.141435623168945,-44.201133728027344,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5709200-Reviews-Esquinao_Burguer-Brumadinho_State_of_Minas_Gerais.html
8228967,Bom Apetite,"Rua Presidente Vargas 172 Lj a Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,1,indef,-20.14261245727539,-44.20132064819336,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8228967-Reviews-Bom_Apetite-Brumadinho_State_of_Minas_Gerais.html
5662388,Panificadora Trigo De Ouro,"Rua Reinaldo Pinto Vieira 390 Silva Prado, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,3,indef,-20.149032592773438,-44.202510833740234,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5662388-Reviews-Panificadora_Trigo_De_Ouro-Brumadinho_State_of_Minas_Gerais.html
5764052,Trailers Nossa Senhora Aparecida,"Avenida Inhotim 495 Progresso, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,2,indef,-20.13821029663086,-44.21476745605469,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5764052-Reviews-Trailers_Nossa_Senhora_Aparecida-Brumadinho_State_of_Minas_Gerais.html
5355926,Restaurante Gaucho,"Avenida Vigilato Braga 172 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,1,indef,-20.14323616027832,-44.201873779296875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5355926-Reviews-Restaurante_Gaucho-Brumadinho_State_of_Minas_Gerais.html
5681144,Bar e Lanchonete Da Rania,"Rua Jose Henriques 516 Jose Henriques, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,1,indef,-20.148910522460938,-44.21320343017578,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5681144-Reviews-Bar_e_Lanchonete_Da_Rania-Brumadinho_State_of_Minas_Gerais.html
5338821,La Bella,"Avenida Vigilato Braga 261 Centro Historico, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,2.5,8,$,-20.144193649291992,-44.20140838623047,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5338821-Reviews-La_Bella-Brumadinho_State_of_Minas_Gerais.html
