estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem
Santa Matula - Casa Bistrô,14140408,restaurante-review,Thaiana F,2019-07-08,2019-07-06,5.0,"A melhor comida de OP","Não temho duvidas que foi a melhor comida, que comi em Minas, a Adriana e a D. Ana (Mãe dela) . Abriram sua casa para nos receber, em um jantar exclusivo para nós dois , quando chegamos escolhemos a música ... e elas foram terminar o jantar !!

Quando chegou que delicia !! Parecia a comida que minha Vó fazia .. uma lembrança tão boa !!!

Comida super saborosa, fresquinha, sem duvidas a melhor comida que comemos em Ouro Preto","Campinas, SP"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Cleide C,2019-07-05,2019-07-06,5.0,"Maravilhosa experiência!","Lugar onde se come primeiro com os olhos e depois se delicia. Comida maravilhosa e deliciosa, tudo sem defeitos. Além do atendimento perfeito. Recomendo!!!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Clara F,2019-07-05,2019-07-06,5.0,"Excelente","Tudo perfeito! Atendimento ótimo, comida deliciosa, maravilhoso. Tudo estava impecável. Recomendarei a todos!!!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Fernanda F,2019-07-04,2019-07-06,5.0,"Excelente!!!! Sem igual....","Como dizem em Goiás, é bom demais da conta! Maravilhoso! Almoçamos dois dias no Santa Matula. O frango ao molho pardo é de comer rezando. Se você quer uma comida mineira de qualidade e ótimo atendimento, esse é o lugar. A Adriana e sua mãe fazem com que você se sinta em casa. Ambiente muito agradável. A Adriana preparou um tutu, que não acompanhava o prato, só para me agradar(sou apaixonada por tutu). Só tenho a agradecer a hospitalidade e excelente comida!!!! Não tenho nem palavras para descrever o angu de milho verde e o chuchu que acompanhavam o prato. Voltaria mil vezes.....","Goiânia, GO"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Rafevans,2019-06-22,2019-06-06,5.0,"Jantar Secreto","Excelente atendimento, comida muito saborosa! Dá para sentir um pouco como é “morar” em Ouro Preto! Perfeito para um jantar a dois. Eu e minha esposa nos sentimos em casa! Parabéns às chefs Adriana e D. Ana, certamente voltaremos!","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Fábio S,2019-06-13,2019-06-06,5.0,"Excelente ambiente e comida","Uma boa opção para um jantar romântico. Ambiente aconchegante e uma comida feita com muito capricho e carinho. Voltaremos com certeza.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Fábio P,2019-05-24,2019-05-06,5.0,"Ouro Preto, sensacional","Ficar hospedado na casa de Adriana foi uma experiência muito acolhedora. Seja pela recepção, pelas dicas, pelo cuidado e pelas delícias servidas.
O Santa Matula oferece uma localização maravilhosa, próximo ao centro de Ouro Preto e estabelecido em um sobrado histórico. Amei a estadia e esta cidade linda. Certamente voltarei!!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,MariaHelena0305,2019-05-18,2019-05-06,5.0,"Comida divina","O Santa Matula oferece pretos da cozinha mineira tradicional mesclados com toques da cozinha contemporânea. Elas oferecem também as cervejas artesanais produzidas na cidade. A própria casa onde o bistrô funciona é um encanto de lugar - o sobrado colonia oferece, a partir de suas sacadas, vistas lindas das ladeiras de Ouro Preto.Enquanto a gente se banquetei-a com uma comida divina, escuta-se o suprasumo da MPB numa harmonia perfeita.","João Pessoa, PB"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Cíntia d,2019-05-17,2019-05-06,5.0,"Comida maravilhosa, recepção acolhedora e ambiente agradabilíssimo","Comida maravilhosa, recepção acolhedora e ambiente agradabilíssimo. Já fui algumas vezes e experimentei vários pratos. A bacalhoada é muito gostosa, o frango com quiabo é divino, a costelinha com angu de milho também é incrível. A ambrosia é de enlouquecer também!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,danielasantosreis,2019-04-30,2019-04-06,5.0,"Excelente experiência!","Eu e meu marido jantamos no bistrô durante o feriado da semana santa e foi uma das melhores comidas que já experimentamos, a um preço super justo!! Pedimos o carbonara caipira e a costelinha defumada com molho de rapadura, ficamos impressionados, tudo uma delícia!! O atendimento é personalizado pois elas atendem cada cliente com horário marcado. As entrada de pães e as sobremesas (ambrosia e banana flambada) também estavam maravilhosas!! Vale a pena conhecer o Bistrô. A casa é linda, típica de Ouro Preto, e as chefs Adriana e Ana são uma simpatia! Talentosas de mais!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Erikka35,2019-04-28,2019-04-06,5.0,"Noite inesquecível ! ","Não deixe de vivenciar essa incrível experiência em Ouro Preto ! Fomos eu e meu marido comemorar nosso aniversário de casamento e foi incrível . As anfitriãs ao mesmo tempo que te deixam a vontade te recebem muito bem. Não menos importante é o sabor dos pratos, ponto perfeito das carnes, comida bem tempera e preparada nos mínimos detalhes. Reserve e aproveite.
Voltaremos","Rio de Janeiro, RJ"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Carolina_Marquesz,2019-04-28,2019-04-06,5.0,"Deliciosa experiência !","Essa foi uma das deliciosas surpresas de Ouro Preto. Uma experiência gastronômica incrível ! Personalizado, com a hospitalidade mineira, excelente comida e ótimas companhias. Adriana e a Ana são encantadoras! Mas atenção: tem que fazer reserva antecipada, via wapp e escolher o cardápio.","Rio de Janeiro, RJ"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Flavio H,2019-02-09,2019-02-06,5.0,"Delícia de almoço!","Fomos muito bem recebidos pela Ana e Adriana, que foram encantadoras. A casa é linda e no coração de Ouro Preto. A comida é maravilhosa e muito farta, uma delícia. As crianças adoraram correr pela casa. Recomendamos demais a experiência.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Babi F,2019-01-25,2019-01-06,5.0,"Delicioso e Aconchegante","A Adriana abre as portas da casa dela para te receber com uma comidinha muito especial!
Você entra em contato com ela e ela te passa o cardápio (por WhatsApp mesmo, os pratos individuais ficam na faixa dos 25,00 a 40,00; e os pra duas pessoas de 60,00 a 90,00), você escolhe o que vai comer e agenda o horário de sua refeição.
A comida é deliciosa, a casa é linda, e a Adriana é uma pessoa incrível! Super recomendo!
(Aliás, ela e sua mãe também são anfitriãs através do AirBnB, então além do jantar/almoço se você quiser prolongar sua experiência nesse lugar incrível vale a pena pesquisar sobre estadia por la)",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Simone C,2019-01-15,2019-01-06,5.0,"A melhor experiência em Ouro Preto","Sabe a comida com gostinho de mãe, de vó? Sabe a simpatia mineira, aquele sorriso honesto, que te cativa? Sabe o ambiente simples, aconchegante e acolhedor? Minha experiência foi maravilhosa! Comida impecável, que dá pra ver que é feita com muito cuidado e carinho. Se você tiver apenas uma noite, passe por lá, pois é retorno garantido! Só precisa agendar antes... elas trabalham com reserva para criar para cada pessoa que lá chega uma experiência única. Servem almoço e jantar... pelo whatsapp foi possível acertar tudo com muita rapidez! O preço também é bastante convidativo... enfim, SUPER RECOMENDO!","Osasco, SP"
Santa Matula - Casa Bistrô,14140408,restaurante-review,77andr_n,2019-01-08,2019-01-06,5.0,"Experiência Gastronômica","Chegar na cidade de Ouro Preto já é uma viagem no tempo. O almoço e a experiência oferecida por este bistrô, completa a imersão na história de MG. A comida é deliciosa e especialmente preparada para cada visitante, pois deve ser previamente combinado data, horário e cardápio. Eu consegui agendar pela manhã o nosso almoço. Uma maravilha! Desejo à Dri e à Ana, muita sorte, saúde e sucesso! Ahhh... e é pertinho da praça!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,ketoly,2018-11-16,2018-11-06,5.0,"Casa da vovó","Essa será uma avaliação especial...
Sabe aquele lugar onde você entra e não quer mais sair? Que se sente acolhido, com jeitinho de casa de vó? Pois bem, essa é a Santa Matula!
As donas abrem a sua casa para receber os cliente com os pratos preparados na hora, unicamente para você.
O sabor é inigualável, de todos os restaurantes que fui até hoje, esse definitivamente foi o melhor, e será difícil superá-lo.
O horário de atendimento é previamente agendado (3 horas de antecedência), o os pratos são preparados de acordo com seu pedido.
Pedi o Chico Rei e para acompanhar uma saborosa caipirinha.
O atendimento é S.E.N.S.A.C.I.O.N.A.L, único, extremamente diferenciado e exclusivo.
O preço é muito abaixo do que é cobrado (e sinceramente eles podem dobrar o valor que valeria cada centavo!).
Experiência gastronômica única!
R.E.C.O.M.E.N.D.O
R.E.C.O.M.E.N.D.O
R.E.C.O.M.E.N.D.O","Colatina, ES"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Milianefagundes,2018-11-06,2018-11-06,5.0,"Quanto menor a casinha, mais sincero o bom dia... 
As donas são muito simpáticas, a comida deliciosa  o casarão lindo","Fomos em um grupo de 6 pessoas e todas saíram de lá encantadas e muito satisfeitas ! O casarão é lindo e a comida deliciosa ! Já deixamos alguns amigos com vontade de conhecer (rsrsrs) e, em breve, voltaremos com uma turma maior.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Marcella B,2018-11-06,2018-11-06,5.0,"Excelente!","Casa linda e bem a cara de Ouro Preto. A Adriana foi super receptiva e a comida estava maravilhosa. Vale muito a pena a experiência!!!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,F6138CXmariam,2018-10-02,2018-09-06,5.0,"Numa casa antiga do início do século 19, a chef Adriana nos recebe muito bem com uma comida impecável","Foi uma experiência incrível, entrar num casarão antigo e saborear uma autêntica carne na lata, típica das roças mineiras. Um tutu mineiro e o arroz, hummmm. Tudo muito delicioso. E a sobremesa? nossa, uma com banana caturra flambada com sorvete foi tudo muito surpreendente. O clima tranquilo da casa e o ambiente acolhedor com aquela decoração primorosa do século 19, me pegou de jeito. Pretendo voltar lá em breve. Obrigada , Adriana.","Ouro Preto, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Márcia Z,2018-09-08,2018-09-06,5.0,"Almoço e jantar no Santa Matula","Comi o filé au poivre e o parpadelle com camarão e não sei qual estava melhor! Comida feita com carinho e dedicação! Simpatia da família toda! Atendimento incrível da Adriana! Voltarei com certeza!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,VanessaR2485,2018-08-11,2018-08-06,5.0,"Comida que aquece a alma","Comida mineira da melhor qualidade, ambiente acolhedor, excelente atendimento. O casarão antigo no centro de Ouro Preto tem uma vista maravilhosa, o tempero é de quem realmente conhece a culinária mineira. Um vinho e uma boa companhia, não dá vontade de sair dali tão cedo...",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Karina M,2018-06-14,2018-03-06,5.0,"Experiência gastronômica excelente","Comida mineira maravilhosa servida em um casarão lindo e bem localizado, no centro de Ouro Preto. O atendimento é muito bom, bem ao modo gentil e acolhedor dos mineiros.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Tiago N,2018-06-13,2018-05-06,5.0,"Deliciosa comida e ambiente.","Comida deliciosa, parece casa de vó. Servida por pessoas agradabilíssimas em um charmoso casarão com uma linda vista.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Renata Clementi... T,2018-06-13,2018-06-06,5.0,"Dia dos namorados !!!","Casa aconchegante com uma proposta diferenciada de atendimento personalizado. Fomos recebidos com muito carinho e tivemos uma experiência maravilhosa. Comida deliciosa e farta com um preço justo. Voltaremos !!!!!",indef
